829 343206
1 2 -408
1 3 10
1 4 136
1 5 262
1 6 293
1 7 163
1 8 -33
1 9 399
1 10 80
1 11 481
1 12 -289
1 13 278
1 14 138
1 15 -179
1 16 -404
1 17 -35
1 18 -387
1 19 -318
1 20 102
1 21 175
1 22 -481
1 23 -217
1 24 112
1 25 -176
1 26 314
1 27 -308
1 28 -6
1 29 -185
1 30 -434
1 31 -267
1 32 -356
1 33 10
1 34 244
1 35 -367
1 36 -228
1 37 389
1 38 296
1 39 -409
1 40 -360
1 41 -124
1 42 -76
1 43 -149
1 44 6
1 45 -437
1 46 -475
1 47 103
1 48 380
1 49 -10
1 50 -363
1 51 -18
1 52 -335
1 53 9
1 54 -382
1 55 -371
1 56 333
1 57 -216
1 58 -179
1 59 179
1 60 99
1 61 239
1 62 413
1 63 -405
1 64 -251
1 65 -491
1 66 -272
1 67 374
1 68 398
1 69 -124
1 70 -183
1 71 -462
1 72 253
1 73 242
1 74 241
1 75 -241
1 76 -343
1 77 -382
1 78 -286
1 79 -463
1 80 108
1 81 204
1 82 372
1 83 -375
1 84 -287
1 85 490
1 86 -245
1 87 -102
1 88 -226
1 89 428
1 90 -71
1 91 -275
1 92 -480
1 93 -158
1 94 172
1 95 121
1 96 -149
1 97 -247
1 98 -5
1 99 101
1 100 129
1 101 313
1 102 491
1 103 -118
1 104 407
1 105 233
1 106 494
1 107 -84
1 108 351
1 109 -292
1 110 -47
1 111 312
1 112 -236
1 113 177
1 114 437
1 115 329
1 116 167
1 117 44
1 118 -273
1 119 -207
1 120 -27
1 121 157
1 122 370
1 123 -7
1 124 -149
1 125 43
1 126 -386
1 127 -445
1 128 296
1 129 462
1 130 -492
1 131 277
1 132 -373
1 133 -500
1 134 -340
1 135 -466
1 136 233
1 137 6
1 138 302
1 139 436
1 140 214
1 141 -245
1 142 248
1 143 -169
1 144 -215
1 145 186
1 146 -340
1 147 452
1 148 -270
1 149 -112
1 150 98
1 151 -445
1 152 -103
1 153 -32
1 154 48
1 155 -400
1 156 -137
1 157 -485
1 158 -345
1 159 -341
1 160 477
1 161 -336
1 162 -211
1 163 -44
1 164 -336
1 165 -51
1 166 342
1 167 -251
1 168 455
1 169 144
1 170 -315
1 171 -479
1 172 -249
1 173 434
1 174 -148
1 175 36
1 176 472
1 177 365
1 178 341
1 179 -298
1 180 105
1 181 -61
1 182 110
1 183 -498
1 184 407
1 185 -342
1 186 -46
1 187 -229
1 188 25
1 189 462
1 190 282
1 191 354
1 192 -22
1 193 -429
1 194 -190
1 195 494
1 196 372
1 197 4
1 198 -257
1 199 -321
1 200 -352
1 201 280
1 202 53
1 203 -100
1 204 214
1 205 -243
1 206 -212
1 207 -462
1 208 -378
1 209 -371
1 210 93
1 211 -421
1 212 68
1 213 -297
1 214 -67
1 215 328
1 216 -139
1 217 388
